event_id,observed_at,low_usd
17213259,2026-05-08T23:57:10.868782+00:00,778
17650339,2026-05-08T23:57:10.868782+00:00,319
17174340,2026-05-08T23:57:10.868782+00:00,524
17248695,2026-05-08T23:57:10.868782+00:00,598
17176204,2026-05-08T23:57:10.868782+00:00,316
17164014,2026-05-08T23:57:10.868782+00:00,400
17269672,2026-05-08T23:57:10.868782+00:00,832
17307866,2026-05-08T23:57:10.868782+00:00,299
17196233,2026-05-08T23:57:10.868782+00:00,875
17171557,2026-05-08T23:57:10.868782+00:00,187
17307554,2026-05-08T23:57:10.868782+00:00,748
17385142,2026-05-08T23:57:10.868782+00:00,1130
17234768,2026-05-08T23:57:10.868782+00:00,516
17650337,2026-05-08T23:57:10.868782+00:00,880
17174341,2026-05-08T23:57:10.868782+00:00,236
17176205,2026-05-08T23:57:10.868782+00:00,370
17249638,2026-05-08T23:57:10.868782+00:00,661
17650350,2026-05-08T23:57:10.868782+00:00,2958
17248696,2026-05-08T23:57:10.868782+00:00,1123
17307502,2026-05-08T23:57:10.868782+00:00,835
17213260,2026-05-08T23:57:10.868782+00:00,1006
17171558,2026-05-08T23:57:10.868782+00:00,275
17307556,2026-05-08T23:57:10.868782+00:00,500
17234769,2026-05-08T23:57:10.868782+00:00,766
17196234,2026-05-08T23:57:10.868782+00:00,328
17650346,2026-05-08T23:57:10.868782+00:00,363
17174342,2026-05-08T23:57:10.868782+00:00,579
17176206,2026-05-08T23:57:10.868782+00:00,377
17164015,2026-05-08T23:57:10.868782+00:00,283
17249640,2026-05-08T23:57:10.868782+00:00,224
17385144,2026-05-08T23:57:10.868782+00:00,1133
17213261,2026-05-08T23:57:10.868782+00:00,487
17269673,2026-05-08T23:57:10.868782+00:00,534
17171559,2026-05-08T23:57:10.868782+00:00,199
17307558,2026-05-08T23:57:10.868782+00:00,812
17307504,2026-05-08T23:57:10.868782+00:00,833
17234770,2026-05-08T23:57:10.868782+00:00,620
17650353,2026-05-08T23:57:10.868782+00:00,650
17248697,2026-05-08T23:57:10.868782+00:00,219
17249641,2026-05-08T23:57:10.868782+00:00,723
17174343,2026-05-08T23:57:10.868782+00:00,295
17164016,2026-05-08T23:57:10.868782+00:00,2004
17650336,2026-05-08T23:57:10.868782+00:00,1412
17650347,2026-05-08T23:57:10.868782+00:00,272
17269674,2026-05-08T23:57:10.868782+00:00,1177
17213262,2026-05-08T23:57:10.868782+00:00,245
17385145,2026-05-08T23:57:10.868782+00:00,362
17196235,2026-05-08T23:57:10.868782+00:00,314
17176207,2026-05-08T23:57:10.868782+00:00,776
17171560,2026-05-08T23:57:10.868782+00:00,260
17307506,2026-05-08T23:57:10.868782+00:00,932
17234771,2026-05-08T23:57:10.868782+00:00,398
17307560,2026-05-08T23:57:10.868782+00:00,163
17650358,2026-05-08T23:57:10.868782+00:00,1450
17248698,2026-05-08T23:57:10.868782+00:00,263
17249643,2026-05-08T23:57:10.868782+00:00,289
17269675,2026-05-08T23:57:10.868782+00:00,914
17213263,2026-05-08T23:57:10.868782+00:00,538
17385146,2026-05-08T23:57:10.868782+00:00,906
17196236,2026-05-08T23:57:10.868782+00:00,188
17176208,2026-05-08T23:57:10.868782+00:00,645
17307564,2026-05-08T23:57:10.868782+00:00,770
17650348,2026-05-08T23:57:10.868782+00:00,607
17385147,2026-05-08T23:57:10.868782+00:00,541
17269676,2026-05-08T23:57:10.868782+00:00,713
17650334,2026-05-08T23:57:10.868782+00:00,1275
17174345,2026-05-08T23:57:10.868782+00:00,549
17248699,2026-05-08T23:57:10.868782+00:00,465
17171561,2026-05-08T23:57:10.868782+00:00,724
17176209,2026-05-08T23:57:10.868782+00:00,894
17234772,2026-05-08T23:57:10.868782+00:00,827
17249644,2026-05-08T23:57:10.868782+00:00,587
17385148,2026-05-08T23:57:10.868782+00:00,616
17164018,2026-05-08T23:57:10.868782+00:00,2096
17307566,2026-05-08T23:57:10.868782+00:00,767
17213264,2026-05-08T23:57:10.868782+00:00,1083
17269677,2026-05-08T23:57:10.868782+00:00,1204
17650335,2026-05-08T23:57:10.868782+00:00,1543
17385149,2026-05-08T23:57:10.868782+00:00,933
17248700,2026-05-08T23:57:10.868782+00:00,706
17174346,2026-05-08T23:57:10.868782+00:00,938
17249646,2026-05-08T23:57:10.868782+00:00,1017
17307570,2026-05-08T23:57:10.868782+00:00,1455
17176210,2026-05-08T23:57:10.868782+00:00,1870
17164019,2026-05-08T23:57:10.868782+00:00,2055
17196238,2026-05-08T23:57:10.868782+00:00,1544
17385150,2026-05-08T23:57:10.868782+00:00,2695
17174347,2026-05-08T23:57:10.868782+00:00,2697
17164020,2026-05-08T23:57:10.868782+00:00,1103
17307574,2026-05-08T23:57:10.868782+00:00,10293
17174344,2026-05-08T23:57:10.868782+00:00,210
17307562,2026-05-08T23:57:10.868782+00:00,585
17196237,2026-05-08T23:57:10.868782+00:00,629
17164017,2026-05-08T23:57:10.868782+00:00,3181
17213259,2026-05-10T04:07:23.692445+00:00,707
17213259,2026-05-10T06:43:40.428154+00:00,707
17213259,2026-05-10T08:32:42.821923+00:00,707
